municipio_id,provincia_id,id_departamento,municipio,provincia,departamento
CBA384,AR-X,1401,Villa Candelaria Norte,Cordoba,Rio Seco
SFE042,AR-S,1693,Campo Piaggio,Santa Fe,San Jeronimo
CBA071,AR-X,1382,Chucul,Cordoba,Rio Cuarto
TUC100,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle
SCR016,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle
COR019,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle
CBA380,AR-Z,1607,Jaramillo,Santa Cruz,Deseado
MZA003,AR-Z,1607,Jaramillo,Santa Cruz,Deseado
SFE182,AR-W,1425,Garruchos,Corrientes,Santo Tome
BUE043,AR-X,1382,Vicuna Mackenna,Cordoba,Rio Cuarto
CBA277,AR-M,1517,Guaymallen,Mendoza,Guaymallen
BUE089,AR-M,1517,Guaymallen,Mendoza,Guaymallen
ERI037,AR-S,1685,Las Avispas,Santa Fe,San Cristobal
MIS028,AR-B,1237,General Alvear,Buenos Aires,General Alvear
CHU008,AR-X,1388,Pampayasta Sud,Cordoba,Tercero Arriba
CHA024,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
LAP075,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
RNO028,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
LAP029,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
SJU017,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
MIS069,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
CHA059,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
BUE007,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
CBA171,AR-E,1435,Nogoya,Entre Rios,Nogoya
SFE033,AR-E,1435,Nogoya,Entre Rios,Nogoya
TUC082,AR-E,1435,Nogoya,Entre Rios,Nogoya
BUE056,AR-E,1435,Nogoya,Entre Rios,Nogoya
CBA415,AR-N,1536,Dos de Mayo,Misiones,Cainguas
CBA100,AR-U,1368,Colan Conhue,Chubut,Languineo
ERI160,AR-H,1359,General Pinedo,Chaco,Doce de Octubre
MIS052,AR-H,1359,General Pinedo,Chaco,Doce de Octubre
CHU028,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen
JUJ001,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen
MZA010,AR-L,1494,Veinticinco de Mayo,La Pampa,Puelen
MIS002,AR-R,1576,Norquinco,Rio Negro,Norquinco
SAL014,AR-L,1477,General Pico,La Pampa,Maraco
LRJ017,AR-J,1595,Valle Fertil,San Juan,Valle Fertil
BUE031,AR-J,1595,Valle Fertil,San Juan,Valle Fertil
CAT003,AR-N,1546,San Vicente,Misiones,Guarani
TUC013,AR-N,1546,San Vicente,Misiones,Guarani
SAL052,AR-H,1721,Quitilipi,Chaco,Quitilipi
CHU043,AR-H,1721,Quitilipi,Chaco,Quitilipi
BUE064,AR-H,1721,Quitilipi,Chaco,Quitilipi
CBA307,AR-B,1202,Azul,Buenos Aires,Azul
BUE101,AR-B,1202,Azul,Buenos Aires,Azul
BUE014,AR-X,1396,La Falda,Cordoba,Punilla
ERI005,AR-X,1396,La Falda,Cordoba,Punilla
CBA218,AR-X,1396,La Falda,Cordoba,Punilla
SJU015,AR-S,1691,Bigand,Santa Fe,Caseros
ERI022,AR-S,1691,Bigand,Santa Fe,Caseros
BUE066,AR-S,1691,Bigand,Santa Fe,Caseros
CHA043,AR-T,1654,San Felipe y Santa Barbara,Tucuman,Lules
TDF003,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
JUJ030,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
MZA013,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
JUJ020,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
RNO037,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
SAL057,AR-B,1250,General Viamonte,Buenos Aires,General Viamonte
MIS059,AR-X,1391,Villa Quillinzo,Cordoba,Calamuchita
ERI056,AR-X,1406,Cordoba,Cordoba,Capital
SFE271,AR-X,1406,Cordoba,Cordoba,Capital
NEU043,AR-X,1406,Cordoba,Cordoba,Capital
SAL006,AR-X,1406,Cordoba,Cordoba,Capital
CAB000,AR-E,1433,Pueblo General Belgrano,Entre Rios,Gualeguaychu
SFE362,AR-E,1433,Pueblo General Belgrano,Entre Rios,Gualeguaychu
CBA107,AR-N,1541,Montecarlo,Misiones,Montecarlo
TUC009,AR-N,1541,Montecarlo,Misiones,Montecarlo
COR012,AR-U,1376,Lagunita Salada,Chubut,Gastre
BUE131,AR-Y,1459,Abdon Castro Tolay,Jujuy,Cochinoca
SFE054,AR-M,1524,Malargue,Mendoza,Malargue
ERI068,AR-M,1524,Malargue,Mendoza,Malargue
BUE069,AR-N,1534,Almafuerte,Misiones,Leandro N. Alem
SGO057,AR-A,1667,El Carril,Salta,Chicoana
RNO035,AR-F,1513,Sanagasta,La Rioja,Sanagasta
NEU025,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
BUE067,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
SFE242,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
CAT004,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
RNO017,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
SGO105,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
BUE016,AR-K,1330,Andalgala,Catamarca,Andalgala
COR062,AR-K,1330,Andalgala,Catamarca,Andalgala
BUE088,AR-T,1644,Bella Vista,Tucuman,Leales
SFE188,AR-A,1680,Santa Victoria Este,Salta,Rivadavia
NEU020,AR-U,1371,Trevelin,Chubut,Futaleufu
JUJ029,AR-B,1258,La Costa,Buenos Aires,La Costa
SGO108,AR-B,1258,La Costa,Buenos Aires,La Costa
RNO064,AR-B,1258,La Costa,Buenos Aires,La Costa
CHA002,AR-B,1258,La Costa,Buenos Aires,La Costa
SFE301,AR-B,1258,La Costa,Buenos Aires,La Costa
CAT032,AR-B,1258,La Costa,Buenos Aires,La Costa
BUE133,AR-X,1398,Rio Segundo,Cordoba,Rio Segundo
JUJ047,AR-B,1296,Quilmes,Buenos Aires,Quilmes
SLU005,AR-B,1296,Quilmes,Buenos Aires,Quilmes
LAP060,AR-B,1296,Quilmes,Buenos Aires,Quilmes
JUJ038,AR-B,1296,Quilmes,Buenos Aires,Quilmes
SJU008,AR-B,1296,Quilmes,Buenos Aires,Quilmes
CHA007,AR-B,1296,Quilmes,Buenos Aires,Quilmes
JUJ051,AR-B,1296,Quilmes,Buenos Aires,Quilmes
CBA106,AR-B,1296,Quilmes,Buenos Aires,Quilmes
TUC107,AR-B,1208,Berisso,Buenos Aires,Berisso
SCR019,AR-B,1208,Berisso,Buenos Aires,Berisso
COR033,AR-E,1436,Basavilbaso,Entre Rios,Uruguay
BUE063,AR-E,1436,Basavilbaso,Entre Rios,Uruguay
SFE224,AR-E,1436,Basavilbaso,Entre Rios,Uruguay
BUE046,AR-E,1436,Basavilbaso,Entre Rios,Uruguay
BUE125,AR-X,1386,Leones,Cordoba,Marcos Juarez
BUE093,AR-X,1386,Leones,Cordoba,Marcos Juarez
MIS032,AR-J,1593,Sarmiento,San Juan,Sarmiento
CHU021,AR-E,1434,General Ramirez,Entre Rios,Diamante
LRJ006,AR-B,1260,La Plata,Buenos Aires,La Plata
LAP067,AR-B,1260,La Plata,Buenos Aires,La Plata
BUE102,AR-B,1260,La Plata,Buenos Aires,La Plata
SLU057,AR-B,1260,La Plata,Buenos Aires,La Plata
NEU007,AR-B,1260,La Plata,Buenos Aires,La Plata
SAL034,AR-B,1260,La Plata,Buenos Aires,La Plata
CHU010,AR-B,1260,La Plata,Buenos Aires,La Plata
SFE049,AR-H,1364,Machagai,Chaco,Veinticinco de Mayo
COR069,AR-V,1642,Ushuaia,Tierra del Fuego,Ushuaia
BUE113,AR-V,1642,Ushuaia,Tierra del Fuego,Ushuaia
TUC109,AR-V,1642,Ushuaia,Tierra del Fuego,Ushuaia
